"Level";"Time";"Max Gnomes Start";"Max Gnomes End";"Countdown Start";"Countdown End";"Cubby Top s Start";"Cubby Top s End";"Cubby Speed Start";"Cubby Speed End";"Waves";"Gnome 1 Max";"Time Factor Gnome 1";"Gnome Woman Max";"Time Factor Gnome Woman";"Gnome Chest Max";"Time Factor Gnome Chest";"Gnome Hide Max";"Time Factor Gnome Hide";"Gnome Shop Max";"Time Factor Gnome Shop";"Gnome Bonus Icecream Max";"Time Factor Gnome Bonus Icecream";"Gnome Bomb Max";"Time Factor Gnome Bomb";"Gnome Challenge Max";"Time Factor Gnome Challenge";"Gnome Bouncing Max";"Gnome BubbleHead Max";"Time Factor Gnome BubbleHead";"Gnome Lucky Clover Max";"Time Factor Gnome Lucky Clover";"Gnome Silver Max";"Time Factor Gnome Silver";"Gnome Bonus Duck Max";"Time Factor Gnome Bonus Duck";"Gnome Strong Max";"Time Factor Gnome Strong";"Gnome Rabbit Max";"Time Factor Gnome Rabbit";"Gnome Flying Max";"Gnome Cupido Max";"Time Factor Gnome Cupido";"Gnome Switcher Max";"Time Factor Gnome Switcher";"Gnome PowerUp Max";"Time Factor Gnome PowerUp";"Gnome Napoleon Max";"Time Factor Gnome Napoleon";"Gnome MultiplierX5 Max";"Time Factor Gnome MultiplierX5";"Gnome Forky Chap Max";"Time Factor Gnome Forky Chap";"Gnome Bonus Strawberry Max";"Time Factor Gnome Bonus Strawberry";"Gnome King Max";"Time Factor Gnome King";"Time Factor Heart 1";"Time Factor Gnome Coin 1"
11;130;6;9;1,35;0,92;12;3,75;8,25;9,5;1;4;1;4;1;2;0,5;4;1;-8;1;-2;1,5;1;0,25;-4;0,5;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
12;140;7;9;1,3;0,91;11;3,5;8,25;9,5;1;4;1;4;1;2;0,5;4;1;-4;1;-4;1,5;1;0,25;0;0;1;3;2;-2;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,95
13;140;7;9;1,3;0,9;11;3,25;8,25;9,5;1;4;1;4;1;2;0,5;4;1;-8;1;-8;1,5;1;0,25;-4;0,5;1;4;2;-4;0,5;2;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,9
14;140;7;9;1,25;0,9;10;3;8,5;9,75;1;3;1;4;1;2;0,5;4;1;-4;1;-4;1,5;1;0,25;0;0;1;4;2;-1;0,5;2;1,5;1;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,85
15;140;7;9;1;0,9;10;2,75;8,75;10;1;3;1;4;1;2;0,5;4;1;-2;1;-2;1,5;1;0,25;-4;0,5;1;4;2;-2;0,5;2;1,5;1;0,5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,8
16;140;7;9;1;0,85;9;2,75;9;10,25;1;3;1;4;1;2;0,5;4;1;-4;1;-8;1,5;1;0,25;0;0;1;4;2;-8;0,5;2;1,5;1;0,5;2;2;-10;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,75
17;140;7;9;1;0,85;9;2,5;9;10,25;1;3;1;4;1;2;0,5;4;1;-4;1;-1;1,5;1;0,25;-4;0,5;1;4;2;-2;0,5;2;1,5;1;0,5;2;2;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,7
18;140;7;9;0,9;0,75;8,5;2,5;9,25;10,5;1;3;1;4;1;2;0,5;4;1;-4;1;-2;1,5;1;0,25;0;0;1;4;2;-4;0,5;2;1,5;1;0,5;2;2;-8;0,3;-2;-10;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0,65
19;140;7;9;0,85;0,8;8;2,5;9,5;10,5;1;3;1;4;1;2;0,5;4;1;-8;1;-4;1,5;1;0,25;-4;0,5;1;4;2;-8;0,5;2;1,5;1;0,5;2;2;0;0;-4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0,6
20;140;7;9;0,8;0,75;7,5;2,5;9,75;10,5;1;3;1;4;1;2;0,5;4;1;-1;1;-8;1,5;1;0,25;0;0;1;4;2;-8;0,5;2;1,5;1;0,5;2;2;-4;0,3;-8;-4;0,5;2;2;-2;1;0;0;0;0;0;0;0;0;0;0;1;0,55
21;140;7;9;0,8;0,75;7;2,5;10;10,5;1;3;1;4;1;2;0,5;4;1;-8;1;-4;1,5;1;0,25;-4;0,5;1;4;2;-4;0,5;2;1,5;1;0,5;2;2;0;0;-4;0;0;2;2;0;0;2;1;0;0;0;0;0;0;0;0;1;0,5
22;140;7;9;0,8;0,75;6,5;2,5;10;10,5;1;3;1;4;1;2;0,5;4;1;-2;1;-8;1,5;1;0,25;0;0;1;4;2;-4;0,5;2;1,5;1;0,5;2;2;-2;0,3;-2;-4;0,5;2;2;0;0;2;1;-1;0,5;0;0;0;0;0;0;1;0,5
23;140;7;9;0,8;0,75;6,5;2,5;10;11;1;3;1;4;1;2;0,5;4;1;-8;1;-1;1,5;1;0,25;-1;0,5;1;4;2;-4;0,5;2;1,5;1;0,5;2;2;0;0;-1;0;0;2;2;-4;1;2;1;-4;0,5;2;3;0;0;0;0;1;0,5
24;140;7;9;0,75;0,7;6;2,5;10;11;1;3;1;4;1;2;0,5;4;1;-4;1;-2;1,5;1;0,25;0;0;1;4;2;-4;0,5;2;1,5;1;0,5;2;2;-1;0,3;-2;-8;0,5;2;2;0;0;2;1;-8;0,5;2;3;1;0,5;0;0;1;0,5
25;140;7;10;0,75;0,7;5,75;2,25;10,5;11;1;3;1;4;1;2;0,5;4;1;-8;1;-4;1,5;1;0,25;-4;0,5;1;4;2;-4;0,5;2;1,5;1;0,5;2;2;-4;0,3;-8;-2;0,5;2;2;-1;1;2;1;-1;0,5;2;3;1;0,5;0;0;1;0,5
